engine_variant,engine,variant,manufacturer,region,engine_family,aspiration,displacement,displacement_l,power_hp,torque_nm,bore_mm,stroke_mm,compression_ratio,redline_rpm,hp_per_litre,configuration,valvetrain,fuel_system,block_material,head_material,production,confidence
BMW M62B44,BMW M62B44,base,BMW,European,M,Naturally Aspirated,4398.0,4.4,286.0,440.0,92.0,82.7,10.0,,65.0,V8,,,Aluminum,Aluminum,,verified_manual
Volkswagen VR6,Volkswagen VR6,base,Volkswagen,European,VR,Naturally Aspirated,2792.0,2.8,200.0,280.0,81.0,90.3,10.5,,71.6,VR6,,,Aluminum,Aluminum,,verified_manual
Kia Theta II,Kia Theta II,base,Kia,JDM,THETA,Naturally Aspirated,1998.0,2.0,255.0,353.0,86.0,86.0,9.5,,127.6,Straight-4,,,Aluminum,Aluminum,,verified_manual
Porsche M96 3.6,Porsche M96 3.6,base,Porsche,European,M,Naturally Aspirated,3596.0,3.6,316.0,370.0,96.0,82.8,11.3,,87.9,Flat-6,,,Aluminum,Aluminum,,verified_manual
Audi 2.5 TFSI,Audi 2.5 TFSI,base,Audi,European,2.5,Turbocharged,2480.0,2.5,394.0,480.0,82.5,92.8,10.0,,158.9,Straight-5,,,Aluminum,Aluminum,,verified_manual
Lamborghini V12 6.5,Lamborghini V12 6.5,base,Lamborghini,European,V,Naturally Aspirated,6498.0,6.5,700.0,690.0,95.0,88.6,12.5,,107.7,V12,,,Aluminum,Aluminum,,verified_manual
Ferrari F136 4.5,Ferrari F136 4.5,base,Ferrari,European,F,Naturally Aspirated,4499.0,4.5,562.0,540.0,92.0,84.4,12.5,,124.9,V8,,,Aluminum,Aluminum,,verified_manual
Nissan VQ35DE,Nissan VQ35DE,base,Nissan,JDM,VQ,Naturally Aspirated,3498.0,3.5,306.0,363.0,95.5,81.4,10.3,,87.5,V6,,,Aluminum,Aluminum,,verified_manual
Honda F20C,Honda F20C,base,Honda,JDM,F,Naturally Aspirated,1997.0,2.0,240.0,208.0,87.0,83.6,11.7,,120.2,Straight-4,,,Aluminum,Aluminum,,verified_manual
Subaru FA20,Subaru FA20,base,Subaru,JDM,FA,Naturally Aspirated,1998.0,2.0,197.0,205.0,86.0,86.0,12.5,,98.6,Flat-4,,,Aluminum,Aluminum,,verified_manual
