engine,vehicle,year_start,year_end,year_span,era,power_hp,torque_nm,manufacturer,region,displacement,displacement_l,aspiration,confidence,notes,source
Toyota 2JZ-GTE,Toyota Supra A80,1993,1998.0,6.0,90s,276.0,379.0,Toyota,JDM,2998.0,3.0,Turbocharged,verified_manual,JDM twin turbo,verified_manual
Toyota 2JZ-GTE,Toyota Aristo,1991,2004.0,14.0,90s,276.0,379.0,Toyota,JDM,2998.0,3.0,Turbocharged,verified_manual,JDM twin turbo,verified_manual
Toyota 2JZ-GE,Toyota Supra A80,1993,1998.0,6.0,90s,220.0,294.0,Toyota,JDM,2998.0,3.0,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Toyota 2JZ-GE,Lexus IS300,2001,2005.0,5.0,2000s,215.0,288.0,Toyota,JDM,2998.0,3.0,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Nissan RB26DETT,Nissan GT-R R32,1989,1994.0,6.0,80s,276.0,353.0,Nissan,JDM,2568.0,2.6,Turbocharged,verified_manual,276hp factory limited JDM,verified_manual
Nissan RB26DETT,Nissan GT-R R33,1995,1998.0,4.0,90s,276.0,353.0,Nissan,JDM,2568.0,2.6,Turbocharged,verified_manual,276hp factory limited JDM,verified_manual
Nissan RB26DETT,Nissan GT-R R34,1999,2002.0,4.0,90s,276.0,353.0,Nissan,JDM,2568.0,2.6,Turbocharged,verified_manual,276hp factory limited JDM,verified_manual
Nissan SR20DET,Nissan 240SX S13,1989,1994.0,6.0,80s,205.0,275.0,Nissan,JDM,1998.0,2.0,Turbocharged,verified_manual,JDM redtop,verified_manual
Nissan SR20DET,Nissan Silvia S14,1993,1998.0,6.0,90s,205.0,275.0,Nissan,JDM,1998.0,2.0,Turbocharged,verified_manual,JDM blacktop,verified_manual
Nissan SR20DET,Nissan Silvia S15,1999,2002.0,4.0,90s,250.0,275.0,Nissan,JDM,1998.0,2.0,Turbocharged,verified_manual,Spec-R tune,verified_manual
Nissan VQ35DE,Nissan 350Z,2002,2008.0,7.0,2000s,306.0,363.0,Nissan,JDM,3498.0,3.5,Naturally Aspirated,verified_manual,standard tune,verified_manual
Nissan VQ35DE,Infiniti G35,2003,2007.0,5.0,2000s,306.0,363.0,Nissan,JDM,3498.0,3.5,Naturally Aspirated,verified_manual,coupe tune,verified_manual
Nissan VQ35DE,Nissan Maxima,2004,2008.0,5.0,2000s,265.0,254.0,Nissan,JDM,3498.0,3.5,Naturally Aspirated,verified_manual,FWD detuned,verified_manual
Nissan VQ37VHR,Nissan 370Z,2009,2020.0,12.0,2000s,332.0,363.0,Nissan,JDM,3696.0,3.7,Naturally Aspirated,verified_manual,HR high revving,verified_manual
Nissan VQ37VHR,Infiniti G37,2008,2013.0,6.0,2000s,328.0,360.0,Nissan,JDM,3696.0,3.7,Naturally Aspirated,verified_manual,coupe tune,verified_manual
Nissan VR38DETT,Nissan GT-R R35,2007,2023.0,17.0,2000s,480.0,588.0,Nissan,JDM,3799.0,3.8,Turbocharged,verified_manual,base tune,verified_manual
Nissan VR38DETT,Nissan GT-R R35 Nismo,2014,2023.0,10.0,2010s,600.0,652.0,Nissan,JDM,3799.0,3.8,Turbocharged,verified_manual,Nismo tune,verified_manual
Honda K20A,Honda Civic Type R EP3,2001,2005.0,5.0,2000s,221.0,206.0,Honda,JDM,1998.0,2.0,Naturally Aspirated,verified_manual,JDM tune,verified_manual
Honda K20A,Honda Integra Type R DC5,2001,2006.0,6.0,2000s,221.0,206.0,Honda,JDM,1998.0,2.0,Naturally Aspirated,verified_manual,JDM tune,verified_manual
Honda K20A,Honda NSX,2016,2022.0,7.0,2010s,573.0,645.0,Honda,JDM,1998.0,2.0,Naturally Aspirated,verified_manual,hybrid system total,verified_manual
Honda B18C,Acura Integra Type R DC2,1994,2001.0,8.0,90s,197.0,178.0,Honda,JDM,1797.0,1.8,Naturally Aspirated,verified_manual,US tune,verified_manual
Honda B18C,Honda Integra Type R DC2,1995,2001.0,7.0,90s,200.0,181.0,Honda,JDM,1797.0,1.8,Naturally Aspirated,verified_manual,JDM tune,verified_manual
Honda F20C,Honda S2000,1999,2003.0,5.0,90s,240.0,208.0,Honda,JDM,1997.0,2.0,Naturally Aspirated,verified_manual,9000rpm redline,verified_manual
Mitsubishi 4G63T,Mitsubishi Lancer Evo I,1992,1994.0,3.0,90s,250.0,309.0,Mitsubishi,JDM,1997.0,2.0,Turbocharged,verified_manual,first gen,verified_manual
Mitsubishi 4G63T,Mitsubishi Lancer Evo IX,2005,2007.0,3.0,2000s,286.0,400.0,Mitsubishi,JDM,1997.0,2.0,Turbocharged,verified_manual,final 4G63,verified_manual
Mitsubishi 4B11T,Mitsubishi Lancer Evo X,2007,2015.0,9.0,2000s,291.0,366.0,Mitsubishi,JDM,1998.0,2.0,Turbocharged,verified_manual,SST version,verified_manual
Subaru EJ257,Subaru WRX STI,2004,2021.0,18.0,2000s,300.0,407.0,Subaru,JDM,2457.0,2.5,Turbocharged,verified_manual,stock tune,verified_manual
Subaru EJ207,Subaru Impreza WRX STI JDM,1994,2007.0,14.0,90s,280.0,392.0,Subaru,JDM,1994.0,2.0,Turbocharged,verified_manual,JDM only,verified_manual
Subaru FA20,Toyota GR86,2012,2021.0,10.0,2010s,197.0,205.0,Subaru,JDM,1998.0,2.0,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Subaru FA20,Subaru BRZ,2012,2021.0,10.0,2010s,197.0,205.0,Subaru,JDM,1998.0,2.0,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
GM LS3,Chevrolet Corvette C6,2008,2013.0,6.0,2000s,430.0,569.0,GM,American,6162.0,6.2,Naturally Aspirated,verified_manual,standard tune,verified_manual
GM LS3,Chevrolet Camaro SS,2010,2015.0,6.0,2010s,426.0,569.0,GM,American,6162.0,6.2,Naturally Aspirated,verified_manual,slightly detuned,verified_manual
GM LS7,Chevrolet Corvette Z06 C6,2006,2013.0,8.0,2000s,505.0,637.0,GM,American,7011.0,7.0,Naturally Aspirated,verified_manual,dry sump,verified_manual
GM LS9,Chevrolet Corvette ZR1 C6,2009,2013.0,5.0,2000s,638.0,819.0,GM,American,6162.0,6.2,Supercharged,verified_manual,supercharged,verified_manual
GM LS9,Chevrolet Camaro ZL1,2012,2015.0,4.0,2010s,580.0,754.0,GM,American,6162.0,6.2,Supercharged,verified_manual,detuned for Camaro,verified_manual
Cadillac LT4,Chevrolet Corvette Z06 C7,2015,2019.0,5.0,2010s,650.0,881.0,Cadillac,American,6162.0,6.2,Naturally Aspirated,verified_manual,supercharged,verified_manual
Cadillac LT4,Cadillac CT5-V Blackwing,2022,2025.0,4.0,2020s+,668.0,893.0,Cadillac,American,6162.0,6.2,Naturally Aspirated,verified_manual,highest output,verified_manual
Ford 5.0 Coyote,Ford Mustang GT,2011,2025.0,15.0,2010s,412.0,529.0,Ford,American,4951.0,5.0,Naturally Aspirated,verified_manual,Gen 3 tune,verified_manual
Ford 5.0 Coyote,Ford F-150,2018,2025.0,8.0,2010s,395.0,400.0,Ford,American,4951.0,5.0,Naturally Aspirated,verified_manual,truck tune,verified_manual
Ford 5.2 Voodoo,Ford Mustang GT350,2015,2020.0,6.0,2010s,526.0,582.0,Ford,American,5163.0,5.2,Naturally Aspirated,verified_manual,flat plane crank,verified_manual
Ford 5.8 Trinity,Ford Mustang Shelby GT500,2013,2014.0,2.0,2010s,662.0,847.0,Ford,American,5856.0,5.9,Naturally Aspirated,verified_manual,supercharged,verified_manual
Ford 7.3 Godzilla,Ford F-250 Super Duty,2020,2025.0,6.0,2020s+,430.0,678.0,Ford,American,7322.0,7.3,Naturally Aspirated,verified_manual,truck application,verified_manual
Chrysler 6.4 Hemi,Dodge Challenger SRT392,2012,2023.0,12.0,2010s,470.0,644.0,Chrysler,American,6417.0,6.4,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Chrysler 6.4 Hemi,Dodge Charger SRT392,2012,2023.0,12.0,2010s,470.0,644.0,Chrysler,American,6417.0,6.4,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Chrysler 6.2 Hellcat,Dodge Challenger SRT Hellcat,2015,2023.0,9.0,2010s,707.0,881.0,Chrysler,American,6166.0,6.2,Supercharged,verified_manual,supercharged,verified_manual
Chrysler 6.2 Hellcat,Dodge Charger SRT Hellcat,2015,2023.0,9.0,2010s,707.0,881.0,Chrysler,American,6166.0,6.2,Supercharged,verified_manual,supercharged,verified_manual
Dodge 6.2 Demon,Dodge Challenger SRT Demon,2018,2018.0,1.0,2010s,840.0,770.0,Dodge,American,6166.0,6.2,Supercharged,verified_manual,drag focused,verified_manual
BMW S54B32,BMW M3 E46,2000,2006.0,7.0,2000s,338.0,365.0,BMW,European,3246.0,3.2,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
BMW S54B32,BMW Z3 M,2001,2002.0,2.0,2000s,321.0,354.0,BMW,European,3246.0,3.2,Naturally Aspirated,verified_manual,slightly detuned,verified_manual
BMW S54B32,BMW Z4 M,2006,2008.0,3.0,2000s,338.0,365.0,BMW,European,3246.0,3.2,Naturally Aspirated,verified_manual,same as E46 M3,verified_manual
BMW S65B40,BMW M3 E90 E92 E93,2007,2013.0,7.0,2000s,414.0,400.0,BMW,European,3999.0,4.0,Naturally Aspirated,verified_manual,V8 M3,verified_manual
BMW N54B30,BMW 335i E90,2006,2013.0,8.0,2000s,306.0,400.0,BMW,European,2979.0,3.0,Naturally Aspirated,verified_manual,twin turbo,verified_manual
BMW N54B30,BMW 135i E82,2007,2013.0,7.0,2000s,306.0,400.0,BMW,European,2979.0,3.0,Naturally Aspirated,verified_manual,twin turbo,verified_manual
BMW N55B30,BMW M135i F20,2012,2016.0,5.0,2010s,322.0,450.0,BMW,European,2979.0,3.0,Naturally Aspirated,verified_manual,single turbo,verified_manual
BMW S55B30,BMW M3 F80,2014,2018.0,5.0,2010s,425.0,550.0,BMW,European,2979.0,3.0,Naturally Aspirated,verified_manual,twin turbo,verified_manual
BMW S55B30,BMW M4 F82,2014,2018.0,5.0,2010s,425.0,550.0,BMW,European,2979.0,3.0,Naturally Aspirated,verified_manual,twin turbo,verified_manual
BMW B58B30,Toyota Supra A90,2019,2025.0,7.0,2010s,335.0,500.0,BMW,European,2998.0,3.0,Naturally Aspirated,verified_manual,BMW engine in Toyota,verified_manual
BMW B58B30,BMW M240i,2017,2025.0,9.0,2010s,382.0,500.0,BMW,European,2998.0,3.0,Naturally Aspirated,verified_manual,higher tune,verified_manual
BMW B48B20,Toyota GR Supra 2.0,2020,2025.0,6.0,2020s+,255.0,400.0,BMW,European,1998.0,2.0,Naturally Aspirated,verified_manual,4 cylinder Supra,verified_manual
Mercedes M156,Mercedes C63 AMG W204,2008,2014.0,7.0,2000s,457.0,600.0,Mercedes,European,6208.0,6.2,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
Mercedes M156,Mercedes E63 AMG W212,2009,2013.0,5.0,2000s,525.0,630.0,Mercedes,European,6208.0,6.2,Naturally Aspirated,verified_manual,higher tune,verified_manual
Mercedes M156,Mercedes SL63 AMG R230,2008,2012.0,5.0,2000s,525.0,630.0,Mercedes,European,6208.0,6.2,Naturally Aspirated,verified_manual,roadster,verified_manual
Mercedes M158,Pagani Huayra,2011,2025.0,15.0,2010s,710.0,1000.0,,,,,,,AMG built custom,verified_manual
Mercedes M159,Mercedes SLS AMG,2009,2014.0,6.0,2000s,571.0,650.0,Mercedes,European,6208.0,6.2,Naturally Aspirated,verified_manual,gullwing,verified_manual
McLaren M840T,McLaren 720S,2017,2025.0,9.0,2010s,710.0,770.0,McLaren,European,3994.0,4.0,Turbocharged,verified_manual,twin turbo,verified_manual
McLaren M840T,McLaren 765LT,2020,2025.0,6.0,2020s+,755.0,800.0,McLaren,European,3994.0,4.0,Turbocharged,verified_manual,LongTail tune,verified_manual
Ferrari F136 4.5,Ferrari 458 Italia,2009,2015.0,7.0,2000s,562.0,540.0,Ferrari,European,4499.0,4.5,Naturally Aspirated,verified_manual,naturally aspirated,verified_manual
