vehicle,manufacturer,region,engine,aspiration,year_start,year_end,year_span,era,power_hp,torque_nm,hp_per_litre,bore_mm,stroke_mm,compression_ratio,redline_rpm,valvetrain,fuel_system,configuration,block_material,head_material,notes,source
Toyota Supra A80,Toyota,JDM,Toyota 2JZ-GTE,Turbocharged,1993,1998.0,6.0,90s,276.0,379.0,,86.0,86.0,8.5,,,,Straight-6,Cast iron,Aluminum,JDM twin turbo,verified_manual
Toyota Aristo,Toyota,JDM,Toyota 2JZ-GTE,Turbocharged,1991,2004.0,14.0,90s,276.0,379.0,,86.0,86.0,8.5,,,,Straight-6,Cast iron,Aluminum,JDM twin turbo,verified_manual
Toyota Supra A80,Toyota,JDM,Toyota 2JZ-GE,Naturally Aspirated,1993,1998.0,6.0,90s,220.0,294.0,,86.0,86.0,10.5,,,,Straight-6,Cast iron,Aluminum,naturally aspirated,verified_manual
Lexus IS300,Toyota,JDM,Toyota 2JZ-GE,Naturally Aspirated,2001,2005.0,5.0,2000s,215.0,288.0,,86.0,86.0,10.5,,,,Straight-6,Cast iron,Aluminum,naturally aspirated,verified_manual
Nissan GT-R R32,Nissan,JDM,Nissan RB26DETT,Turbocharged,1989,1994.0,6.0,80s,276.0,353.0,,86.0,73.7,8.5,,,,Straight-6,Cast iron,Aluminum,276hp factory limited JDM,verified_manual
Nissan GT-R R33,Nissan,JDM,Nissan RB26DETT,Turbocharged,1995,1998.0,4.0,90s,276.0,353.0,,86.0,73.7,8.5,,,,Straight-6,Cast iron,Aluminum,276hp factory limited JDM,verified_manual
Nissan GT-R R34,Nissan,JDM,Nissan RB26DETT,Turbocharged,1999,2002.0,4.0,90s,276.0,353.0,,86.0,73.7,8.5,,,,Straight-6,Cast iron,Aluminum,276hp factory limited JDM,verified_manual
Nissan 240SX S13,Nissan,JDM,Nissan SR20DET,Turbocharged,1989,1994.0,6.0,80s,205.0,275.0,,86.0,86.0,8.5,,,,Straight-4,Cast iron,Aluminum,JDM redtop,verified_manual
Nissan Silvia S14,Nissan,JDM,Nissan SR20DET,Turbocharged,1993,1998.0,6.0,90s,205.0,275.0,,86.0,86.0,8.5,,,,Straight-4,Cast iron,Aluminum,JDM blacktop,verified_manual
Nissan Silvia S15,Nissan,JDM,Nissan SR20DET,Turbocharged,1999,2002.0,4.0,90s,250.0,275.0,,86.0,86.0,8.5,,,,Straight-4,Cast iron,Aluminum,Spec-R tune,verified_manual
Nissan 350Z,Nissan,JDM,Nissan VQ35DE,Naturally Aspirated,2002,2008.0,7.0,2000s,306.0,363.0,,95.5,81.4,10.3,,,,V6,Aluminum,Aluminum,standard tune,verified_manual
Infiniti G35,Nissan,JDM,Nissan VQ35DE,Naturally Aspirated,2003,2007.0,5.0,2000s,306.0,363.0,,95.5,81.4,10.3,,,,V6,Aluminum,Aluminum,coupe tune,verified_manual
Nissan Maxima,Nissan,JDM,Nissan VQ35DE,Naturally Aspirated,2004,2008.0,5.0,2000s,265.0,254.0,,95.5,81.4,10.3,,,,V6,Aluminum,Aluminum,FWD detuned,verified_manual
Nissan 370Z,Nissan,JDM,Nissan VQ37VHR,Naturally Aspirated,2009,2020.0,12.0,2000s,332.0,363.0,,95.5,86.4,11.0,,,,V6,Aluminum,Aluminum,HR high revving,verified_manual
Infiniti G37,Nissan,JDM,Nissan VQ37VHR,Naturally Aspirated,2008,2013.0,6.0,2000s,328.0,360.0,,95.5,86.4,11.0,,,,V6,Aluminum,Aluminum,coupe tune,verified_manual
Nissan GT-R R35,Nissan,JDM,Nissan VR38DETT,Turbocharged,2007,2023.0,17.0,2000s,480.0,588.0,,95.5,88.4,9.0,,,,V6,Aluminum,Aluminum,base tune,verified_manual
Nissan GT-R R35 Nismo,Nissan,JDM,Nissan VR38DETT,Turbocharged,2014,2023.0,10.0,2010s,600.0,652.0,,95.5,88.4,9.0,,,,V6,Aluminum,Aluminum,Nismo tune,verified_manual
Honda Civic Type R EP3,Honda,JDM,Honda K20A,Naturally Aspirated,2001,2005.0,5.0,2000s,221.0,206.0,,86.0,86.0,11.7,,,,Straight-4,Aluminum,Aluminum,JDM tune,verified_manual
Honda Integra Type R DC5,Honda,JDM,Honda K20A,Naturally Aspirated,2001,2006.0,6.0,2000s,221.0,206.0,,86.0,86.0,11.7,,,,Straight-4,Aluminum,Aluminum,JDM tune,verified_manual
Honda NSX,Honda,JDM,Honda K20A,Naturally Aspirated,2016,2022.0,7.0,2010s,573.0,645.0,,86.0,86.0,11.7,,,,Straight-4,Aluminum,Aluminum,hybrid system total,verified_manual
